lot_id,defect_desc,date_key,total_panels,daily_base_rate,defect_panel_count,defect_rate
L3MY5C005,G向单亮线,20260211,5222,0.06264%,3,0.05745%
L3MY5C00Y,G向单亮线,20260201,2847,0.07645%,2,0.07025%
L3MY5C010,G向单亮线,20260211,5200,0.05914%,3,0.05769%
L3MY5C011,G向单亮线,20260211,5555,0.05935%,3,0.05401%
L3MY5C012,G向单亮线,20260211,5650,0.06225%,4,0.07080%
L3MY5C014,G向单亮线,20260204,5642,0.04824%,3,0.05317%
L3MY5C015,G向单亮线,20260211,5359,0.04848%,3,0.05598%
L3MY5C017,G向单亮线,20260205,5659,0.05861%,3,0.05301%
L3MY5C018,G向单亮线,20260205,5603,0.05372%,3,0.05354%
L3MY5C019,G向单亮线,20260204,5656,0.05309%,3,0.05304%
L3MY5C01B,G向单亮线,20260207,5640,0.05382%,3,0.05319%
L3MY5C01C,G向单亮线,20260209,5615,0.05282%,3,0.05343%
L3MY5C01D,G向单亮线,20260212,5644,0.05336%,3,0.05315%
L3MY5C01E,G向单亮线,20260210,5621,0.05036%,3,0.05337%
L3MY5C01G,G向单亮线,20260210,5617,0.06955%,4,0.07121%
L3MY5C01H,G向单亮线,20260305,5650,0.05571%,3,0.05310%
L3MY5C01J,G向单亮线,20260207,5658,0.04647%,3,0.05302%
L3MY5C01K,G向单亮线,20260209,5601,0.05901%,3,0.05356%
L3MY5C01L,G向单亮线,20260212,5641,0.05635%,3,0.05318%
L3MY5C01N,G向单亮线,20260210,5660,0.05172%,3,0.05300%
L3MY5C01P,G向单亮线,20260214,5643,0.00000%,0,0.00000%
L3MY5C01Q,G向单亮线,20260210,5607,0.05162%,3,0.05350%
L3MY5C01R,G向单亮线,20260202,5660,0.05201%,3,0.05300%
L3MY5C01S,G向单亮线,20260210,5436,0.06059%,3,0.05519%
L3MY5C01T,G向单亮线,20260210,5639,0.06754%,4,0.07093%
L3MY5C01U,G向单亮线,20260210,5630,0.04934%,3,0.05329%
L3MY5C01V,G向单亮线,20260211,5644,0.05222%,3,0.05315%
L3MY5C01W,G向单亮线,20260210,5649,0.05356%,3,0.05311%
L3MY5C01X,G向单亮线,20260209,5469,0.05888%,3,0.05485%
L3MY5C01Y,G向单亮线,20260212,5661,0.07260%,4,0.07066%
L3MY5C01Z,G向单亮线,20260305,5629,0.06726%,4,0.07106%
L3MY5C020,G向单亮线,20260305,5632,0.06344%,4,0.07102%
L3MY5C021,G向单亮线,20260227,5624,0.06615%,4,0.07112%
L3MY5C022,G向单亮线,20260304,5666,0.04855%,3,0.05295%
L3MY5C023,G向单亮线,20260228,5672,0.05438%,3,0.05289%
L3MY5C024,G向单亮线,20260305,5612,0.06446%,4,0.07128%
L3MY5C025,G向单亮线,20260228,5649,0.05975%,3,0.05311%
L3MY5C026,G向单亮线,20260227,5660,0.06119%,3,0.05300%
L3MY5C027,G向单亮线,20260305,5669,0.06554%,4,0.07056%
L3MY5C028,G向单亮线,20260305,5647,0.06555%,4,0.07083%
L3MY5C02A,G向单亮线,20260305,5668,0.05450%,3,0.05293%
L3MY5C02B,G向单亮线,20260228,5643,0.05308%,3,0.05316%
L3MY5C02C,G向单亮线,20260228,5645,0.04971%,3,0.05314%
L3MY5C02D,G向单亮线,20260305,5652,0.06460%,4,0.07077%
L3MY5C02E,G向单亮线,20260306,5630,0.05873%,3,0.05329%
L3MY5C02F,G向单亮线,20260305,5650,0.05891%,3,0.05310%
L3MY5C02H,G向单亮线,20260304,5624,0.05290%,3,0.05334%
L3MY5C02J,G向单亮线,20260305,5664,0.05180%,3,0.05297%
L3MY5C02K,G向单亮线,20260305,5645,0.06857%,4,0.07086%
L3MY5C02L,G向单亮线,20260304,5643,0.05437%,3,0.05316%
L3MY5C02N,G向单亮线,20260228,5646,0.06415%,4,0.07085%
L3MY5C02P,G向单亮线,20260403,5623,0.05026%,3,0.05335%
L3MY5C02Q,G向单亮线,20260305,5658,0.06666%,4,0.07070%
L3MY5C02S,G向单亮线,20260304,5664,0.04951%,3,0.05297%
L3MY61001,G向单亮线,20260324,5643,0.05786%,3,0.05316%
L3MY61002,G向单亮线,20260324,5652,0.06739%,4,0.07077%
L3MY61003,G向单亮线,20260324,5551,0.06839%,4,0.07206%
L3MY61004,G向单亮线,20260324,5658,0.07374%,4,0.07070%
L3MY61005,G向单亮线,20260324,5656,0.07340%,4,0.07072%
L3MY61006,G向单亮线,20260324,5659,0.07280%,4,0.07068%
L3MY61007,G向单亮线,20260324,5260,0.06551%,3,0.05703%
L3MY61008,G向单亮线,20260325,5650,0.05286%,3,0.05310%
L3MY61009,G向单亮线,20260323,5635,0.04677%,3,0.05324%
L3MY6100B,G向单亮线,20260323,5524,0.05215%,3,0.05431%
L3MY6100D,G向单亮线,20260324,5460,0.05750%,3,0.05495%
L3MY6100E,G向单亮线,20260415,5678,0.05940%,3,0.05284%
L3MY6100F,G向单亮线,20260324,5647,0.06353%,4,0.07083%
L3MY6100G,G向单亮线,20260325,5654,0.04647%,3,0.05306%
L3MY6100J,G向单亮线,20260324,5626,0.06160%,3,0.05332%
L3MY62001,G向单亮线,20260325,5648,0.06250%,4,0.07082%
L3MY62002,G向单亮线,20260417,5633,0.05760%,3,0.05326%
L3MY62004,G向单亮线,20260325,5266,0.04538%,2,0.03798%
L3MY62005,G向单亮线,20260325,5642,0.04591%,3,0.05317%
L3MY62006,G向单亮线,20260326,5645,0.05147%,3,0.05314%
L3MY62007,G向单亮线,20260325,5635,0.06222%,4,0.07098%
L3MY62008,G向单亮线,20260326,5656,0.07098%,4,0.07072%
L3MY62009,G向单亮线,20260415,5648,0.05486%,3,0.05312%
L3MY6200A,G向单亮线,20260414,5650,0.07411%,4,0.07080%
L3MY6200B,G向单亮线,20260415,5648,0.06494%,4,0.07082%
L3MY6200C,G向单亮线,20260327,5653,0.04323%,2,0.03538%
L3MY6200D,G向单亮线,20260325,5546,0.06049%,3,0.05409%
L3MY6200F,G向单亮线,20260329,5604,0.06414%,4,0.07138%
L3MY6200H,G向单亮线,20260414,5649,0.06331%,4,0.07081%
L3MY6200J,G向单亮线,20260325,5654,0.05861%,3,0.05306%
L3MY6200K,G向单亮线,20260414,5664,0.07393%,4,0.07062%
L3MY6200L,G向单亮线,20260330,5648,0.05338%,3,0.05312%
L3MY6200M,G向单亮线,20260414,5660,0.07301%,4,0.07067%
L3MY6200N,G向单亮线,20260414,5656,0.05802%,3,0.05304%
L3MY6200P,G向单亮线,20260329,5653,0.06831%,4,0.07076%
L3MY6200Q,G向单亮线,20260414,5665,0.05653%,3,0.05296%
L3MY6200R,G向单亮线,20260415,5667,0.05113%,3,0.05294%
L3MY63002,G向单亮线,20260419,5655,0.04189%,2,0.03537%
L3MY63003,G向单亮线,20260420,5467,0.05406%,3,0.05487%
L3MY63004,G向单亮线,20260418,5663,0.05607%,3,0.05298%
L3MY63005,G向单亮线,20260414,5665,0.06024%,3,0.05296%
L3MY63006,G向单亮线,20260426,5471,0.07272%,4,0.07311%
L3MY63007,G向单亮线,20260519,5015,0.05502%,3,0.05982%
L3MY63008,G向单亮线,20260420,5643,0.05701%,3,0.05316%
L3MY63009,G向单亮线,20260424,5659,0.06594%,4,0.07068%
L3MY6300A,G向单亮线,20260420,5617,0.04290%,2,0.03561%
L3MY6300B,G向单亮线,20260419,5628,0.04565%,3,0.05330%
L3MY6300C,G向单亮线,20260419,5640,0.04274%,2,0.03546%
L3MY6300D,G向单亮线,20260516,5293,0.04829%,3,0.05668%
L3MY6300F,G向单亮线,20260421,5657,0.06163%,3,0.05303%
L3MY6300G,G向单亮线,20260425,5633,0.07314%,4,0.07101%
L3MY6300H,G向单亮线,20260419,5643,0.05235%,3,0.05316%
L3MY6300J,G向单亮线,20260421,5637,0.04861%,3,0.05322%
L3MY6300K,G向单亮线,20260421,5673,0.05690%,3,0.05288%
L3MY6300L,G向单亮线,20260419,5659,0.05377%,3,0.05301%
L3MY6300M,G向单亮线,20260422,5659,0.05873%,3,0.05301%
L3MY6300N,G向单亮线,20260419,5659,0.04082%,2,0.03534%
L3MY6300P,G向单亮线,20260515,5327,0.05427%,3,0.05632%
L3MY6300Q,G向单亮线,20260418,5651,0.05809%,3,0.05309%
L3MY6300R,G向单亮线,20260414,5662,0.06773%,4,0.07065%
L3MY6300S,G向单亮线,20260426,5667,0.06230%,4,0.07058%
L3MY6300T,G向单亮线,20260420,5586,0.04761%,3,0.05371%
L3MY6300U,G向单亮线,20260421,5660,0.06017%,3,0.05300%
L3MY6300V,G向单亮线,20260421,5657,0.05273%,3,0.05303%
L3MY6300X,G向单亮线,20260423,5602,0.05971%,3,0.05355%
L3MY6300Z,G向单亮线,20260513,5501,0.06541%,4,0.07271%
L3MY63010,G向单亮线,20260419,5656,0.04591%,3,0.05304%
L3MY63011,G向单亮线,20260515,4660,0.06043%,3,0.06438%
L3MY63012,G向单亮线,20260424,5684,0.05333%,3,0.05278%
L3MY63015,G向单亮线,20260419,5668,0.04559%,3,0.05293%
L3MY6301C,G向单亮线,20260418,5673,0.06340%,4,0.07051%
L3MY6301D,G向单亮线,20260421,5673,0.06353%,4,0.07051%
L3MY6301F,G向单亮线,20260425,5657,0.06168%,3,0.05303%
L3MY6301G,G向单亮线,20260426,5665,0.06198%,4,0.07061%
L3MY6301H,G向单亮线,20260422,5668,0.05703%,3,0.05293%
L3MY6301J,G向单亮线,20260425,5664,0.06131%,3,0.05297%
L3MY6301K,G向单亮线,20260515,5286,0.06180%,3,0.05675%
L3MY6301L,G向单亮线,20260514,5641,0.05519%,3,0.05318%
L3MY6301M,G向单亮线,20260513,5579,0.05366%,3,0.05377%
L3MY6301N,G向单亮线,20260516,5195,0.04526%,2,0.03850%
L3MY6301Q,G向单亮线,20260422,5676,0.05400%,3,0.05285%
L3MY6301R,G向单亮线,20260512,5640,0.05065%,3,0.05319%
L3MY6301S,G向单亮线,20260426,5666,0.06095%,3,0.05295%
L3MY6301T,G向单亮线,20260513,5602,0.05423%,3,0.05355%
L3MY6301U,G向单亮线,20260424,5664,0.07742%,4,0.07062%
L3MY6301V,G向单亮线,20260425,5664,0.06060%,3,0.05297%
L3MY6301X,G向单亮线,20260422,5658,0.05908%,3,0.05302%
L3MY6301Y,G向单亮线,20260513,5634,0.05895%,3,0.05325%
L3MY6301Z,G向单亮线,20260512,5615,0.04509%,3,0.05343%
L3MY63021,G向单亮线,20260512,5614,0.06248%,4,0.07125%
L3MY63022,G向单亮线,20260513,5625,0.05847%,3,0.05333%
L3MY63023,G向单亮线,20260514,5566,0.05013%,3,0.05390%
L3MY63024,G向单亮线,20260513,5646,0.04951%,3,0.05313%
L3MY63025,G向单亮线,20260512,5635,0.05581%,3,0.05324%
L3MY63026,G向单亮线,20260513,5633,0.07243%,4,0.07101%
L3MY63027,G向单亮线,20260513,5621,0.07204%,4,0.07116%
L3MY63028,G向单亮线,20260516,5347,0.04744%,3,0.05611%
L3MY63029,G向单亮线,20260425,5664,0.06963%,4,0.07062%
L3MY6302A,G向单亮线,20260515,5323,0.06640%,4,0.07515%
L3MY6302B,G向单亮线,20260516,5591,0.05470%,3,0.05366%
L3MY64001,G向单亮线,20260519,4867,0.06382%,3,0.06164%
L3MY64004,G向单亮线,20260515,5594,0.04963%,3,0.05363%
L3MY64008,G向单亮线,20260521,4694,0.05405%,3,0.06391%
L3MY6400A,G向单亮线,20260515,5538,0.06362%,4,0.07223%
L3MY6400B,G向单亮线,20260519,5039,0.05878%,3,0.05954%
L3MY6400C,G向单亮线,20260520,4583,0.05797%,3,0.06546%
L3MY6400D,G向单亮线,20260521,4540,0.05741%,3,0.06608%
L3MY6400E,G向单亮线,20260521,4641,0.05430%,3,0.06464%
L3MY6400F,G向单亮线,20260517,5292,0.06238%,3,0.05669%
L3MY6400J,G向单亮线,20260519,5315,0.05195%,3,0.05644%
L3MY6400K,G向单亮线,20260520,4828,0.04407%,2,0.04143%
L3MY6400L,G向单亮线,20260520,4904,0.04990%,2,0.04078%
L3MY6400M,G向单亮线,20260516,5499,0.06398%,4,0.07274%
L3MY6400N,G向单亮线,20260521,4945,0.06016%,3,0.06067%
L3MY6400R,G向单亮线,20260520,5031,0.06280%,3,0.05963%
L3MY6400V,G向单亮线,20260520,4941,0.04871%,2,0.04048%
L3MY6400Z,G向单亮线,20260519,4827,0.05829%,3,0.06215%
L3MY64011,G向单亮线,20260520,4223,0.04753%,2,0.04736%
L3MY64012,G向单亮线,20260520,5038,0.05926%,3,0.05955%
L3MY64013,G向单亮线,20260520,4839,0.04872%,2,0.04133%
L3MY64014,G向单亮线,20260520,4575,0.04354%,2,0.04372%
L3MY64015,G向单亮线,20260521,5109,0.06336%,3,0.05872%
L3MY64018,G向单亮线,20260521,4558,0.05589%,3,0.06582%
L3MY6401D,G向单亮线,20260520,5279,0.04744%,3,0.05683%
L3MY6401G,G向单亮线,20260521,4582,0.05659%,3,0.06547%
L3MY5C005,G向单暗线,20260211,5222,0.00000%,0,0.00000%
L3MY5C00W,G向单暗线,20260210,1392,0.00000%,0,0.00000%
L3MY5C00Y,G向单暗线,20260201,2847,0.00000%,0,0.00000%
L3MY5C010,G向单暗线,20260211,5200,0.00000%,0,0.00000%
L3MY5C011,G向单暗线,20260211,5555,0.00000%,0,0.00000%
L3MY5C012,G向单暗线,20260211,5650,0.00000%,0,0.00000%
L3MY5C014,G向单暗线,20260204,5642,0.00000%,0,0.00000%
L3MY5C015,G向单暗线,20260211,5359,0.00000%,0,0.00000%
L3MY5C017,G向单暗线,20260205,5659,0.00000%,0,0.00000%
L3MY5C018,G向单暗线,20260205,5603,0.00000%,0,0.00000%
L3MY5C019,G向单暗线,20260204,5656,0.00000%,0,0.00000%
L3MY5C01A,G向单暗线,20260211,5034,0.00000%,0,0.00000%
L3MY5C01B,G向单暗线,20260207,5640,0.00000%,0,0.00000%
L3MY5C01C,G向单暗线,20260209,5615,0.00000%,0,0.00000%
L3MY5C01D,G向单暗线,20260212,5644,0.00000%,0,0.00000%
L3MY5C01E,G向单暗线,20260210,5621,0.00000%,0,0.00000%
L3MY5C01F,G向单暗线,20260210,5636,0.00000%,0,0.00000%
L3MY5C01G,G向单暗线,20260210,5617,0.00000%,0,0.00000%
L3MY5C01H,G向单暗线,20260305,5650,0.31619%,18,0.31858%
L3MY5C01J,G向单暗线,20260207,5658,0.00000%,0,0.00000%
L3MY5C01K,G向单暗线,20260209,5601,0.00000%,0,0.00000%
L3MY5C01L,G向单暗线,20260212,5641,0.00000%,0,0.00000%
L3MY5C01M,G向单暗线,20260211,1876,0.00000%,0,0.00000%
L3MY5C01N,G向单暗线,20260210,5660,0.00000%,0,0.00000%
L3MY5C01P,G向单暗线,20260214,5643,0.00000%,0,0.00000%
L3MY5C01Q,G向单暗线,20260210,5607,0.00000%,0,0.00000%
L3MY5C01R,G向单暗线,20260202,5660,0.00000%,0,0.00000%
L3MY5C01S,G向单暗线,20260210,5436,0.00000%,0,0.00000%
L3MY5C01T,G向单暗线,20260210,5639,0.00000%,0,0.00000%
L3MY5C01U,G向单暗线,20260210,5630,0.00000%,0,0.00000%
L3MY5C01V,G向单暗线,20260211,5644,0.00000%,0,0.00000%
L3MY5C01W,G向单暗线,20260210,5649,0.00000%,0,0.00000%
L3MY5C01X,G向单暗线,20260209,5469,0.00000%,0,0.00000%
L3MY5C01Y,G向单暗线,20260212,5661,0.00000%,0,0.00000%
L3MY5C01Z,G向单暗线,20260305,5629,0.28179%,16,0.28424%
L3MY5C020,G向单暗线,20260305,5632,0.36005%,20,0.35511%
L3MY5C021,G向单暗线,20260227,5624,0.30710%,17,0.30228%
L3MY5C022,G向单暗线,20260304,5666,0.28491%,16,0.28239%
L3MY5C023,G向单暗线,20260228,5672,0.32445%,18,0.31735%
L3MY5C024,G向单暗线,20260305,5612,0.35615%,20,0.35638%
L3MY5C025,G向单暗线,20260228,5649,0.27224%,15,0.26553%
L3MY5C026,G向单暗线,20260227,5660,0.31998%,18,0.31802%
L3MY5C027,G向单暗线,20260305,5669,0.38670%,22,0.38808%
L3MY5C028,G向单暗线,20260305,5647,0.33797%,19,0.33646%
L3MY5C029,G向单暗线,20260306,5626,0.37600%,21,0.37327%
L3MY5C02A,G向单暗线,20260305,5668,0.29289%,17,0.29993%
L3MY5C02B,G向单暗线,20260228,5643,0.27034%,15,0.26582%
L3MY5C02C,G向单暗线,20260228,5645,0.26703%,15,0.26572%
L3MY5C02D,G向单暗线,20260305,5652,0.33651%,19,0.33616%
L3MY5C02E,G向单暗线,20260306,5630,0.29693%,17,0.30195%
L3MY5C02F,G向单暗线,20260305,5650,0.29215%,17,0.30088%
L3MY5C02G,G向单暗线,20260304,5644,0.31961%,18,0.31892%
L3MY5C02H,G向单暗线,20260304,5624,0.23707%,13,0.23115%
L3MY5C02J,G向单暗线,20260305,5664,0.27553%,16,0.28249%
L3MY5C02K,G向单暗线,20260305,5645,0.26019%,15,0.26572%
L3MY5C02L,G向单暗线,20260304,5643,0.27250%,15,0.26582%
L3MY5C02M,G向单暗线,20260305,5636,0.29933%,17,0.30163%
L3MY5C02N,G向单暗线,20260228,5646,0.34505%,19,0.33652%
L3MY5C02P,G向单暗线,20260403,5623,0.22943%,13,0.23119%
L3MY5C02Q,G向单暗线,20260305,5658,0.36433%,21,0.37116%
L3MY5C02R,G向单暗线,20260303,5663,0.35385%,20,0.35317%
L3MY5C02S,G向单暗线,20260304,5664,0.29265%,17,0.30014%
L3MY61001,G向单暗线,20260324,5643,0.28287%,16,0.28354%
L3MY61002,G向单暗线,20260324,5652,0.31931%,18,0.31847%
L3MY61003,G向单暗线,20260324,5551,0.22749%,13,0.23419%
L3MY61004,G向单暗线,20260324,5658,0.29842%,17,0.30046%
L3MY61005,G向单暗线,20260324,5656,0.32111%,18,0.31825%
L3MY61006,G向单暗线,20260324,5659,0.23382%,13,0.22972%
L3MY61007,G向单暗线,20260324,5260,0.30609%,16,0.30418%
L3MY61008,G向单暗线,20260325,5650,0.26391%,15,0.26549%
L3MY61009,G向单暗线,20260323,5635,0.26965%,15,0.26619%
L3MY6100A,G向单暗线,20260322,5634,0.23923%,13,0.23074%
L3MY6100B,G向单暗线,20260323,5524,0.37091%,20,0.36206%
L3MY6100C,G向单暗线,20260325,5666,0.31783%,18,0.31768%
L3MY6100D,G向单暗线,20260324,5460,0.30157%,16,0.29304%
L3MY6100E,G向单暗线,20260415,5678,0.30926%,18,0.31701%
L3MY6100F,G向单暗线,20260324,5647,0.25117%,14,0.24792%
