厂别,备件类型,设备类型,膜层,制程,寿命规格,站点,机台号-腔室,参数名称
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,1K200,3AFS01-SPU-PM5,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,1K200,3AFS01-SPU-PM6,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,1K200,3AFS02-SPU-PM4,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,1K200,3AFS09-SPU-PM3,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,1K200,3AFS09-SPU-PM4,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,1K200,3AFS10-SPU-PM3,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,1K200,3AFS10-SPU-PM4,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,1K200,3AFS12-SPU-PM4,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,1K200,3AFS12-SPU-PM5,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,12200.0,3AFS01-SPU-PM5,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,12200.0,3AFS01-SPU-PM6,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,12200.0,3AFS02-SPU-PM4,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,12200.0,3AFS09-SPU-PM3,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,12200.0,3AFS09-SPU-PM4,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,12200.0,3AFS10-SPU-PM3,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,12200.0,3AFS10-SPU-PM4,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,12200.0,3AFS12-SPU-PM4,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,12200.0,3AFS12-SPU-PM5,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,13200.0,3AFS01-SPU-PM5,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,13200.0,3AFS01-SPU-PM6,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,13200.0,3AFS02-SPU-PM4,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,13200.0,3AFS09-SPU-PM3,%TRGTLIFE%_G_MAX
Array,Target,PVD,MO（M1/M2/M3）,Mo DEPO,41000KWH,13200.0,3AFS09-SPU-PM4,%TRGTLIFE%_G_MAX
