厂别,膜层,制程,机台,腔室,备件类型,寿命规格,预警值
ARRAY,CVD,PE,3AFS10,P3/P4,TRGTLIFE_R,840,80
ARRAY,CVD,PE,3AFS10,P3/P4,TRGTLIFE_G,840,80
ARRAY,CVD,PE,3AFS10,P3/P4,TRGTLIFE_B,840,80
ARRAY,CVD,PE,3AFS10,P3/P4,MASKLIFE_R,840,80
ARRAY,CVD,PE,3AFS10,P3/P4,MASKLIFE_G,840,80
ARRAY,CVD,PE,3AFS10,P3/P4,MASKLIFE_B,840,80
ARRAY,CVD,PE,3AFS10,P5,TRGTLIFE_R,840,80
ARRAY,CVD,PE,3AFS10,P5,TRGTLIFE_G,840,80
ARRAY,CVD,PE,3AFS10,P5,TRGTLIFE_B,840,80
ARRAY,CVD,PE,3AFS10,P5,MASKLIFE_R,840,80
ARRAY,CVD,PE,3AFS10,P5,MASKLIFE_G,840,80
ARRAY,CVD,PE,3AFS10,P5,MASKLIFE_B,840,80
